iil_buylead_display_order_id,iil_bl_display_mcat_rank,iil_time_factor,supplier_product,buylead,iil_distance_factor,iil_bl_display_desc
2,A,5,PM,PM,-1,A
3,A,5,PM,PM,-3,A
